Current step: 750
Physical elapsed time: 0.074900000
CPU time: 9.516330000
id     	p[0]     	p[1]     	p[2]     	v[0]     	v[1]     	v[2]     	F[0]     	F[1]     	F[2]
7	0.001419	0.001929	0.001611	-0.016590	-0.075640	-0.080273	-0.006639	0.005956	0.007229
45	0.001905	0.001514	0.001025	0.018293	0.102306	0.027115	0.006639	-0.005956	-0.009191
51	0.001015	0.001206	0.003745	-0.176920	0.047137	-0.000981	0.000000	0.000000	-0.000981
184	0.001219	0.001577	0.005512	0.032685	0.028360	0.014781	0.000000	0.000000	-0.000981
6	0.001746	0.003346	0.001672	-0.002133	-0.051973	0.000551	0.000000	0.000000	-0.000981
206	0.001035	0.003929	0.001028	-0.011045	0.095606	0.152117	0.000000	0.000000	-0.000981
2	0.001526	0.003327	0.006324	-0.029639	-0.060367	0.024557	0.000000	0.000000	-0.000981
486	0.001075	0.005024	0.005802	0.202915	0.183809	-0.077293	0.000000	0.000000	-0.000981
47	0.001659	0.005335	0.007137	-0.029463	0.114522	-0.010032	0.000000	0.000000	-0.000981
8	0.001554	0.007066	0.001031	0.012907	0.013916	-0.043629	0.000000	0.000000	-0.000981
9	0.001527	0.006996	0.002057	-0.100781	-0.075827	0.066188	-0.002656	0.001247	-0.003872
69	0.001196	0.007298	0.007535	-0.070012	-0.032819	0.142020	0.000000	0.000000	-0.000981
61	0.001962	0.009465	0.001392	-0.062262	0.052246	-0.009494	0.000000	0.000000	-0.000981
11	0.001620	0.009367	0.003498	0.109821	0.078073	-0.113084	0.000000	0.000000	-0.000981
62	0.001230	0.008449	0.002107	-0.060501	0.090347	-0.065820	0.000000	0.000000	-0.000981
80	0.001725	0.010424	0.001006	0.063890	0.056696	0.010035	0.000000	0.000000	-0.000981
13	0.001059	0.011967	0.001845	-0.059940	-0.038897	-0.028319	0.000000	0.000000	-0.000981
229	0.001163	0.011272	0.003583	0.140573	-0.036422	-0.134411	0.000000	0.000000	-0.000981
82	0.001272	0.011562	0.005551	0.048918	-0.017092	0.031291	0.000000	0.000000	-0.000981
353	0.001232	0.010875	0.007220	-0.076640	0.009126	0.072193	0.000000	0.000000	-0.000981
89	0.001689	0.011599	0.009323	0.021379	-0.088788	0.101918	0.000000	0.000000	-0.000981
14	0.001822	0.012202	0.001158	0.064531	0.015385	0.089300	0.000000	0.000000	-0.000981
19	0.001326	0.015311	0.001249	0.029861	-0.012974	0.096358	0.000000	0.000000	-0.000981
98	0.001957	0.014821	0.003289	0.021535	0.018861	-0.111690	0.000000	0.000000	-0.000981
74	0.001167	0.014029	0.002076	-0.064461	0.103067	-0.015592	0.000000	0.000000	-0.000981
25	0.001449	0.017026	0.002424	-0.019384	-0.039459	-0.058393	0.001778	-0.001490	-0.004870
253	0.001084	0.017341	0.003242	0.082681	-0.032013	-0.082702	-0.001778	0.001490	0.002908
20	0.001547	0.017159	0.005341	0.099975	0.116248	-0.026760	0.000000	0.000000	-0.000981
107	0.001374	0.018129	0.002679	-0.151078	-0.083796	-0.036201	0.000000	0.000000	-0.000981
119	0.001103	0.021916	0.001265	0.098731	0.243648	-0.173240	0.000000	0.000000	-0.000981
104	0.001411	0.020946	0.001230	-0.041616	0.010833	0.002393	0.000000	0.000000	-0.000981
112	0.001345	0.021046	0.002521	0.012652	-0.026857	0.046589	0.000000	0.000000	-0.000981
131	0.001200	0.020871	0.005454	-0.030982	-0.143634	-0.083872	0.000000	0.000000	-0.000981
123	0.001716	0.023011	0.000977	-0.055499	-0.015147	-0.075858	0.000000	0.000000	0.014325
114	0.001593	0.023468	0.002940	0.075518	-0.018132	0.035457	-0.003410	-0.000151	-0.001909
23	0.001862	0.022095	0.004760	-0.018474	0.124189	-0.058476	0.000000	0.000000	-0.000981
