Current step: 1
Physical elapsed time: 0.000000000
CPU time: 0.000000000
id     	p[0]     	p[1]     	p[2]     	v[0]     	v[1]     	v[2]     	F[0]     	F[1]     	F[2]
1	0.001698	0.001220	0.003510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	0.001337	0.003464	0.004326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	0.001205	0.003097	0.009567	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	0.001157	0.004805	0.004523	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0.001230	0.004302	0.006498	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	0.001713	0.005567	0.007215	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	0.001080	0.004826	0.008908	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	0.001079	0.006219	0.003682	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	0.001070	0.007005	0.006003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	0.001027	0.006520	0.008160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
11	0.001093	0.006987	0.009601	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12	0.001190	0.009463	0.009481	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13	0.001138	0.011104	0.001414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	0.001325	0.011363	0.004190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	0.001302	0.012482	0.002202	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	0.001337	0.015427	0.003935	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
17	0.001423	0.014318	0.004337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18	0.001565	0.014874	0.006243	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	0.001381	0.017058	0.004312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	0.001551	0.017052	0.009794	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
21	0.001651	0.018373	0.005697	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
22	0.001812	0.019442	0.006933	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
23	0.001384	0.018866	0.009495	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
24	0.001416	0.021061	0.001136	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
25	0.001312	0.020324	0.003082	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26	0.001065	0.020748	0.004115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27	0.001444	0.022981	0.004918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28	0.001206	0.025642	0.004316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29	0.001586	0.024294	0.005243	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30	0.001672	0.024316	0.009108	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
31	0.001185	0.028374	0.004374	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
32	0.001337	0.028527	0.006922	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33	0.001466	0.030320	0.006145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
34	0.001563	0.030052	0.009598	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
35	0.001013	0.032618	0.002201	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
36	0.001138	0.032111	0.007807	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
37	0.001473	0.034070	0.001159	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
38	0.001457	0.034486	0.007954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
39	0.001645	0.035597	0.008301	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40	0.001702	0.035108	0.009865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
41	0.001926	0.036088	0.009628	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
42	0.001294	0.038713	0.001215	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
43	0.002629	0.002031	0.001133	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
44	0.002016	0.002522	0.002691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
45	0.002334	0.002371	0.006198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
46	0.003094	0.002900	0.009714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
47	0.002771	0.002295	0.008544	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
48	0.003686	0.003114	0.008484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
49	0.003728	0.002172	0.008981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50	0.002810	0.004173	0.002885	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
51	0.002455	0.004387	0.004365	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
52	0.003966	0.004242	0.005896	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
53	0.002503	0.005003	0.006505	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
54	0.002586	0.004641	0.007438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
55	0.002594	0.004621	0.009540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
56	0.003613	0.005733	0.009893	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
57	0.002934	0.005414	0.008614	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
58	0.002323	0.007586	0.001727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
59	0.002306	0.006519	0.002092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
60	0.002097	0.007483	0.003630	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
61	0.003038	0.006579	0.004204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
62	0.002164	0.006681	0.008059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
63	0.002462	0.006318	0.009621	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
64	0.002308	0.009007	0.001448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
65	0.002472	0.009433	0.002681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
66	0.002533	0.008766	0.003456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
67	0.003507	0.008401	0.005447	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
68	0.003086	0.008277	0.006916	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
69	0.003632	0.009312	0.007537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
70	0.002158	0.008618	0.006059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
71	0.003223	0.009533	0.009997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
72	0.003026	0.008484	0.009792	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
73	0.002768	0.010447	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
74	0.002683	0.010161	0.004462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
75	0.003003	0.011231	0.004587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
76	0.003974	0.010658	0.007086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
77	0.002608	0.011367	0.006948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
78	0.003133	0.010573	0.009292	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
79	0.002193	0.010262	0.009853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
80	0.002210	0.010483	0.008260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
81	0.003969	0.012158	0.001738	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
82	0.002358	0.012610	0.002009	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
83	0.002068	0.013120	0.003418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
84	0.002511	0.012192	0.006062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
85	0.003390	0.013293	0.006914	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
86	0.003468	0.012031	0.006830	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
87	0.002308	0.013402	0.009898	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
88	0.002597	0.013102	0.008294	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
89	0.002201	0.015531	0.004823	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
90	0.002407	0.014552	0.004971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
91	0.002547	0.015359	0.007043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
92	0.002030	0.015762	0.008759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
93	0.003225	0.014945	0.008814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
94	0.002024	0.017411	0.001671	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
95	0.002462	0.016406	0.001375	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
96	0.002417	0.016052	0.003394	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
97	0.002927	0.017135	0.004127	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
98	0.002698	0.016206	0.006186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
99	0.003184	0.017129	0.008707	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
100	0.002087	0.017144	0.008441	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
101	0.003042	0.016291	0.009516	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
102	0.002045	0.019186	0.001106	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
103	0.002299	0.018527	0.002638	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
104	0.002647	0.018160	0.004434	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
105	0.003660	0.018527	0.004490	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
106	0.003687	0.018977	0.005387	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
107	0.003061	0.018078	0.005477	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
108	0.002725	0.019090	0.007961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
109	0.002531	0.018779	0.006656	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
110	0.003755	0.018296	0.007795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
111	0.003763	0.018310	0.009864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
112	0.002363	0.018776	0.008981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
113	0.002325	0.020535	0.001017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
114	0.002052	0.021627	0.005628	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
115	0.002040	0.020256	0.004183	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
116	0.002099	0.020141	0.005429	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
117	0.003824	0.021619	0.006469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
118	0.002119	0.020716	0.006619	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
119	0.002716	0.020017	0.008491	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
120	0.003199	0.020967	0.009441	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
121	0.002242	0.023738	0.001318	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
122	0.002935	0.022022	0.003119	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
123	0.002251	0.023499	0.003889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
124	0.002577	0.022485	0.002138	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
125	0.002809	0.022229	0.004483	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
